Hero,Win Rate,Pick Rate,KDA Ratio
Centaur Warrunner,0.5674,0.0611,2.78
Vengeful Spirit,0.5637,0.0799,2.53
Spectre,0.5634,0.0856,3.66
Omniknight,0.5622,0.0596,2.58
Chaos Knight,0.5617,0.1001,2.72
Zeus,0.5608,0.1144,3.67
Underlord,0.5544,0.0281,2.58
Crystal Maiden,0.5503,0.121,2.08
Wraith King,0.5436,0.1234,3.25
Luna,0.5422,0.1129,2.44
Abaddon,0.5415,0.039,2.76
Shadow Shaman,0.5387,0.1205,1.87
Pudge,0.5372,0.3695,2.39
Spirit Breaker,0.5366,0.1482,2.91
Lich,0.5327,0.0616,2.67
Ancient Apparition,0.5307,0.0435,3.06
Medusa,0.5297,0.1154,3.12
Brewmaster,0.529,0.0239,2.89
Elder Titan,0.529,0.0165,2.5
Axe,0.5289,0.16,2.27
Dragon Knight,0.5275,0.079,2.43
Drow Ranger,0.5274,0.1111,2.2
Ursa,0.5272,0.0891,2.64
Ogre Magi,0.5271,0.0867,2.35
Anti-Mage,0.5253,0.2758,2.67
Bristleback,0.5244,0.1271,2.59
Storm Spirit,0.5243,0.1599,3.28
Night Stalker,0.5242,0.062,3
Terrorblade,0.5233,0.0405,2.38
Jakiro,0.5227,0.0742,2.2
Clockwerk,0.5227,0.0472,2.8
Tidehunter,0.5188,0.0548,2.79
Sven,0.5176,0.165,2.33
Beastmaster,0.516,0.0195,2.28
Sniper,0.5158,0.3259,2.82
Outworld Devourer,0.5142,0.0568,2.81
Treant Protector,0.5134,0.0402,2.35
Witch Doctor,0.5134,0.067,2.26
Undying,0.5111,0.0345,2.62
Warlock,0.5105,0.0412,2.44
Skywrath Mage,0.5094,0.0647,2.5
Riki,0.5094,0.1627,3.01
Silencer,0.5081,0.0917,2.67
Phantom Assassin,0.5077,0.2944,2.6
Necrophos,0.5061,0.1315,2.68
Phantom Lancer,0.5051,0.085,2.59
Enigma,0.5051,0.042,2.52
Bloodseeker,0.5051,0.166,2.37
Faceless Void,0.5044,0.1405,2.83
Tinker,0.5044,0.1175,3.19
Juggernaut,0.5038,0.1828,2.55
Disruptor,0.5038,0.0508,2.48
Nyx Assassin,0.5026,0.0637,2.58
Venomancer,0.5006,0.0851,2.37
Slardar,0.5001,0.0946,2.3
Techies,0.4986,0.0564,1.95
Bounty Hunter,0.4972,0.0935,2.92
Winter Wyvern,0.4969,0.0469,2.34
Gyrocopter,0.4962,0.0338,2.6
Dazzle,0.4953,0.0409,2.28
Troll Warlord,0.4947,0.086,2.28
Sand King,0.4935,0.0864,2.49
Huskar,0.4915,0.085,1.82
Earthshaker,0.4893,0.1681,2.23
Razor,0.4892,0.0479,2.44
Shadow Demon,0.4891,0.0316,2.23
Viper,0.4883,0.0973,2.61
Visage,0.4882,0.0105,2.59
Phoenix,0.487,0.0349,2.55
Weaver,0.4857,0.119,3.27
Kunkka,0.4853,0.1026,2.6
Lion,0.4812,0.1191,1.91
Invoker,0.4805,0.2621,2.97
Shadow Fiend,0.48,0.1594,2.58
Legion Commander,0.4787,0.1794,2.25
Meepo,0.4786,0.0508,2.11
Clinkz,0.4783,0.0926,2.51
Lycan,0.4775,0.0249,2.4
Mirana,0.4773,0.1826,3.12
Bane,0.4742,0.0381,2.23
Death Prophet,0.4739,0.0353,2.23
Doom,0.4736,0.0542,2.36
Dark Willow,0.4728,0.13,2.28
Rubick,0.4706,0.0974,2.4
Slark,0.4693,0.1191,2.43
Leshrac,0.4675,0.0156,1.98
Tiny,0.4668,0.0774,2.43
Dark Seer,0.4665,0.0162,2.67
Keeper of the Light,0.4664,0.0532,2.32
Enchantress,0.4649,0.0343,2.68
Queen of Pain,0.4645,0.0818,2.98
Timbersaw,0.4522,0.0735,2.17
Windranger,0.4513,0.1157,2.78
Lifestealer,0.45,0.0691,2.51
Magnus,0.4497,0.0593,2.33
Earth Spirit,0.4486,0.0359,2.12
Pugna,0.4474,0.0606,2.03
Batrider,0.4473,0.0161,2.44
Pangolier,0.4458,0.1504,2.41
Naga Siren,0.4453,0.0222,2.58
Monkey King,0.4426,0.1385,2.15
Lina,0.4415,0.0793,2.07
Arc Warden,0.4393,0.0162,2.31
Ember Spirit,0.4378,0.0572,2.63
Oracle,0.4292,0.0191,2.28
Chen,0.4289,0.0112,2
Puck,0.4282,0.0672,2.73
Tusk,0.4246,0.0424,2.16
Alchemist,0.4215,0.0544,1.86
Nature's Prophet,0.4213,0.0751,1.87
Morphling,0.4187,0.0374,2.5
Broodmother,0.4166,0.0161,1.67
Templar Assassin,0.4096,0.061,2.28
Lone Druid,0.3822,0.015,2.01
Io,0.3806,0.0282,1.65
