CHAMPION,RP COST,IP COST,ROLE,RELEASED
?Aatrox,975,6300,top,06.13.2013
?Ahri,880,4800,mid,12.13.2011
?Akali,790,3150,mid,07.13.2010
?Alistar,585,1350,support,07.13.2010
?Amumu,260,450,jungle,07.13.2010
?Anivia,790,3150,mid,07.13.2010
?Annie,260,450,mid,07.13.2010
?Ashe,260,450,bot,07.13.2010
?Aurelion Sol,975,6300,mid,03.24.2016
?Azir,975,6300,mid,09.16.2014
?Bard,975,6300,support,03.12.2015
?Blitzcrank,790,3150,support,07.13.2010
?Brand,880,4800,mid,04.14.2011
?Braum,975,6300,support,05.12.2014
?Caitlyn,880,4800,bot,01.05.2011
?Camille,975,6300,top,12.13.2016
?Cassiopeia,880,4800,mid,12.15.2010
?Cho'Gath,585,1350,top,07.13.2010
?Corki,790,3150,bot,07.13.2010
?Darius,880,4800,top,05.21.2012
?Diana,880,4800,mid,07.30.2012
?Dr. Mundo,585,1350,top,07.13.2010
?Draven,880,4800,bot,06.04.2012
?Ekko,975,6300,top,05.28.2015
?Elise,880,4800,jungle,09.25.2012
?Evelynn,585,1350,jungle,07.13.2010
?Ezreal,880,4800,bot,07.13.2010
?Fiddlesticks,585,1350,jungle,07.13.2010
?Fiora,880,4800,top,02.26.2012
?Fizz,880,4800,mid,11.10.2011
?Galio,790,3150,mid,07.13.2010
?Gangplank,790,3150,top,07.13.2010
?Garen,260,450,top,07.13.2010
?Gnar,975,6300,top,08.12.2014
?Gragas,790,3150,jungle,07.13.2010
?Graves,880,4800,jungle,10.20.2011
?Hecarim,880,4800,jungle,04.08.2012
?Heimerdinger,790,3150,mid,07.13.2010
?Illaoi,975,6300,top,11.25.2015
?Irelia,880,4800,top,11.17.2010
?Ivern,975,6300,jungle,10.05.2016
?Janna,585,1350,support,07.13.2010
?Jarvan IV,880,4800,top,03.02.2011
?Jax,585,1350,top,07.13.2010
?Jayce,880,4800,top,07.03.2012
?Jhin,975,6300,bot,02.02.2016
?Jinx,975,6300,bot,10.05.2013
?Kalista,975,6300,bot,11.19.2014
?Karma,790,3150,mid,02.02.2011
?Karthus,790,3150,mid,07.13.2010
?Kassadin,790,3150,mid,07.13.2010
?Katarina,790,3150,mid,07.13.2010
?Kayle,260,450,mid,07.13.2010
?Kayn,975,6300,jungle,07.12.2017
?Kennen,880,4800,mid,07.13.2010
?Kha'Zix,880,4800,jungle,09.18.2012
?Kindred,487,6300,jungle,10.14.2015
?Kled,975,6300,top,08.10.2016
?Kog'Maw,880,4800,bot,07.13.2010
?LeBlanc,790,3150,mid,11.03.2010
?Lee Sin,880,4800,jungle,04.01.2011
?Leona,880,4800,support,07.14.2011
?Lissandra,975,6300,mid,04.30.2013
?Lucian,975,6300,bot,08.21.2013
?Lulu,880,4800,support,03.20.2012
?Lux,790,3150,mid,10.20.2010
?Malphite,585,1350,top,07.13.2010
?Malzahar,880,4800,mid,07.13.2010
?Maokai,880,4800,top,02.18.2011
?Master Yi,260,450,jungle,07.13.2010
?Miss Fortune,790,3150,bot,07.13.2010
?Mordekaiser,585,1350,top,07.13.2010
?Morgana,585,1350,support,07.13.2010
?Nami,975,6300,support,12.05.2012
?Nasus,585,1350,top,07.13.2010
?Nautilus,880,4800,support,02.13.2012
?Nidalee,790,3150,jungle,07.13.2010
?Nocturne,880,4800,jungle,03.16.2011
?Nunu,260,450,jungle,07.13.2010
?Olaf,395,3150,top,07.13.2010
?Orianna,880,4800,mid,06.02.2011
?Ornn,975,6300,top,08.23.2017
?Pantheon,790,3150,top,07.13.2010
?Poppy,260,450,top,07.13.2010
?Quinn,975,6300,top,02.27.2013
?Rakan,975,6300,support,04.19.2017
?Rammus,585,1350,top,07.13.2010
?Rek'Sai,975,6300,jungle,12.09.2014
?Renekton,880,4800,top,01.19.2011
?Rengar,880,4800,jungle,08.02.2012
?Riven,880,4800,top,09.14.2011
?Rumble,880,4800,top,04.27.2011
?Ryze,260,450,top,07.13.2010
?Sejuani,880,4800,jungle,01.16.2012
?Shaco,790,3150,jungle,07.13.2010
?Shen,790,3150,top,07.13.2010
?Shyvana,790,3150,jungle,11.02.2011
?Singed,260,450,top,07.13.2010
?Sion,585,1350,top,07.13.2010
?Sivir,260,450,bot,07.13.2010
?Skarner,880,4800,jungle,07.31.2011
?Sona,790,3150,support,07.13.2010
?Soraka,260,450,support,07.13.2010
?Swain,880,4800,top,10.06.2010
?Syndra,880,4800,mid,09.12.2012
?Tahm Kench,975,6300,support,07.09.2015
?Taliyah,975,6300,mid,05.18.2016
?Talon,880,4800,mid,08.24.2011
?Taric,585,1350,support,07.13.2010
?Teemo,585,1350,top,07.13.2010
?Thresh,975,6300,support,01.18.2013
?Tristana,585,1350,bot,07.13.2010
?Trundle,880,4800,top,12.01.2010
?Tryndamere,585,1350,top,07.13.2010
?Twisted Fate,585,1350,mid,07.13.2010
?Twitch,790,3150,bot,07.13.2010
?Udyr,585,1350,jungle,07.13.2010
?Urgot,395,3150,top,07.13.2010
?Varus,880,4800,bot,04.09.2012
?Vayne,880,4800,bot,05.11.2011
?Veigar,585,1350,mid,07.13.2010
?Vel'Koz,975,6300,mid,02.20.2014
?Vi,975,6300,jungle,12.06.2012
?Viktor,880,4800,mid,12.13.2011
?Vladimir,880,4800,mid,07.13.2010
?Volibear,880,4800,jungle,11.28.2011
?Warwick,260,450,jungle,07.13.2010
?Wukong,880,4800,top,07.27.2011
?Xayah,975,6300,bot,04.19.2017
?Xerath,880,4800,mid,10.06.2011
?Xin Zhao,585,1350,jungle,07.13.2010
?Yasuo,975,6300,mid,12.12.2013
?Yorick,880,4800,top,06.23.2011
?Zac,975,6300,jungle,03.29.2013
?Zed,975,6300,mid,11.13.2012
?Ziggs,440,4800,mid,01.29.2012
?Zilean,585,1350,mid,07.13.2010
?Zyra,880,4800,support,07.16.2012
